weather_risk,rain_mm_hr,wind_kph,visibility_m_norm,disaster_flag,traffic_risk,zone_risk,is_peak_hour,density_encoded,exposure_risk,vehicle_risk,weekly_hours_norm,experience_norm,night_shift,days_per_week,dri_score,tier_label,_city,_zone,_condition
46.0,7.909999847412109,30.600000381469727,0.47279998660087585,0.0,24.700000762939453,20.0,0.0,0.0,80.0,20.0,0.6000000238418579,0.15000000596046448,1.0,7.0,36.9684,1,Bengaluru,Rural,moderate_rain
4.0,0.0,7.400000095367432,0.9973000288009644,0.0,69.87999725341797,50.0,1.0,2.0,80.0,35.0,0.5357142686843872,0.5,1.0,7.0,40.3935,1,Chennai,Suburb,clear
11.5,1.2300000190734863,17.399999618530273,0.6679999828338623,0.0,20.290000915527344,20.0,0.0,0.0,40.0,20.0,0.23673468828201294,0.25,0.0,4.0,19.8179,0,Chennai,Rural,light_rain
4.0,0.0,10.199999809265137,0.9846000075340271,0.0,25.43000030517578,50.0,0.0,0.0,15.0,35.0,0.11938775330781937,0.03333333507180214,0.0,3.0,22.8536,0,Delhi,Industrial,clear
26.5,0.0,73.9000015258789,0.8379999995231628,0.0,34.0099983215332,80.0,0.0,0.0,65.0,20.0,0.22653061151504517,0.1666666716337204,0.0,3.0,41.7342,1,Bengaluru,Highway,strong_wind
17.5,1.600000023841858,22.299999237060547,0.6851000189781189,0.0,86.5,80.0,1.0,2.0,80.0,10.0,0.4346938729286194,0.28333333134651184,1.0,6.0,54.4067,2,Bengaluru,Highway,light_rain
17.5,2.430000066757202,25.799999237060547,0.680899977684021,0.0,76.80000305175781,80.0,0.0,2.0,65.0,35.0,0.5020408034324646,0.21666666865348816,0.0,6.0,53.3584,2,Bengaluru,Highway,light_rain
0.0,0.0,11.300000190734863,1.0269999504089355,0.0,71.9000015258789,80.0,0.0,2.0,15.0,10.0,0.11020407825708389,0.8666666746139526,0.0,3.0,37.7599,1,Chennai,CBD,clear
17.5,1.940000057220459,27.100000381469727,0.6747999787330627,0.0,20.290000915527344,20.0,0.0,0.0,105.0,10.0,0.3306122422218323,0.8333333134651184,1.0,3.0,29.1336,0,Delhi,Rural,light_rain
0.0,0.0,10.0,1.034000039100647,0.0,68.6500015258789,50.0,1.0,2.0,80.0,20.0,0.6714285612106323,1.0,1.0,7.0,40.2476,1,Hyderabad,Suburb,clear
